dataelementid,dataelement,period,facility,mflcode,categoryoptioncombo,attributeoptioncombo,value
Msy6jQGmn37,CT_: Viral Load Samples Collected 25-29 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
QXKdo31bahD,CT_: Viral Load Samples Collected 25-29 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
qO4Laf5vNBj,CT_: Viral Load Samples Collected 30-34 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
khzso3Cer4z,CT_: Viral Load Samples Collected 35-39 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
UL5CnB8zL98,CT_: Viral Load Samples Collected 40-49 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
can7jmHsKVp,CT_: Viral Load Samples Collected 40-49 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
bC9x4D3iwM9,CT_: Viral Load Samples Collected 50 + Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
qA2miisVuSZ,CT_: Number with Viral Load Results 15-19 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
qJbOUW9dPEc,CT_: Number with Viral Load Results 25-29 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
xKJ22a8Qlgs,CT_: Number with Viral Load Results 25-29 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
b1YflJcFVpl,CT_: Number with Viral Load Results 30-34 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
m0i3vHRRh8N,CT_: Number with Viral Load Results 35-39 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
DPuev94lPjB,CT_: Number with Viral Load Results 40-49 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
tYIWVIK3Mq6,CT_: Number with Viral Load Results 40-49 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
X4NIxxO1fpK,CT_: Number with Viral Load Results 50 + Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
vAusneWxz7y,"CT_: Viral Load Results <1,000 15-19 Years Female",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
mFxtWtGURzj,"CT_: Viral Load Results <1,000 25-29 Years Male",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
QYmb3yJ4ytL,"CT_: Viral Load Results <1,000 25-29 Years Female",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
nIXanr4P8FF,"CT_: Viral Load Results <1,000 30-34 Years Female",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
tJL3VMY7bZW,"CT_: Viral Load Results <1,000 35-39 Years Female",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
hqrIs9XRebP,"CT_: Viral Load Results <1,000 40-49 Years Male",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
l2WlZlgaCqC,"CT_: Viral Load Results <1,000 40-49 Years Female",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
NJ4cqkTl5eO,"CT_: Viral Load Results <1,000 50 + Years Female",201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
CqHqNF9Y0on,CT_: Viral Load Results <LDL> 15-19 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
ZstVbezKQEd,CT_: Viral Load Results <LDL> 25-29 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
kgieGgJkZS3,CT_: Viral Load Results <LDL> 25-29 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,3
jVw54CuNFIz,CT_: Viral Load Results <LDL> 30-34 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
F1coQry4Jos,CT_: Viral Load Results <LDL> 35-39 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
CJ78Pdu9eZ1,CT_: Viral Load Results <LDL> 40-49 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
oIrkY2stZm4,CT_: Viral Load Results <LDL> 40-49 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
QNbqqVYFIu6,CT_: Number with 2nd Viral Load Done 1 - 9 Years,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,2
s3bN6sElHu5,CT_: Number with 2nd Viral Load Done 10-14 Years Male,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
ch8RN6d51AR,CT_: Number with 2nd Viral Load Done 15-19 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
yx2JYeQknJE,CT_: Number with 2nd Viral Load Done 25-29 Years Female,201710,Got Nyabondo Dispensary,13689,HllvX50cXC0,YHx6ZCdJgEN ,1
jMj9HsAtCiE,CT_: New on Treatment 20-24 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,5
dMXQytl6smz,CT_: Current on Treatment 1 - 9 Years,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,4
w6WWy2A7RUk,CT_: Current on Treatment 10-14 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,5
MkTG1QOLLcC,CT_: Current on Treatment 15-19 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
VRnM69jCvDj,CT_: Current on Treatment 20-24 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
VsZdsSj87oU,CT_: Current on Treatment 20-24 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,28
zj9bYSJ4gs9,CT_: Current on Treatment 25-29 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,5
HZy39srIX9A,CT_: Current on Treatment 25-29 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,18
qKs4rxcBeMN,CT_: Current on Treatment 30-34 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,9
sb0tiptWRok,CT_: Current on Treatment 30-34 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,23
lqWuuZfUOnP,CT_: Current on Treatment 35-39 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,16
aDaPydSh2gv,CT_: Current on Treatment 35-39 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,17
CrCBPYt9i4n,CT_: Current on Treatment 40-49 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,14
HjrjlsRzZK4,CT_: Current on Treatment 40-49 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,11
k7fA3OJUTkw,CT_: Current on Treatment 50 + Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,13
KqSJpHTD0DU,CT_: Current on Treatment 50 + Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,9
c2KBaPucFpF,CT_: Net Cohort Starting ART 12 months 40-49 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
jHXgaxsGLEL,CT_: Net Cohort Starting ART 12 months 40-49 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
k5Y3POnUMVw,CT_: Net Cohort Starting ART 12 months 50 + Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
xjp4sO7zPWQ,CT_: Number on ART 12 months 40-49 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
KFvCzhEHvpB,CT_: Eligible for Viral Load 10-14 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
RMpwq40uILP,CT_: Eligible for Viral Load 20-24 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
kFXEqn4Nh2F,CT_: Eligible for Viral Load 25-29 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
R1chfCFmd5F,CT_: Eligible for Viral Load 25-29 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
OIm2k2fVBmv,CT_: Eligible for Viral Load 30-34 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
YizsMxXaMJQ,CT_: Eligible for Viral Load 30-34 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,4
ztybLcfNncG,CT_: Eligible for Viral Load 35-39 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
BWU1QcT9eFu,CT_: Eligible for Viral Load 35-39 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
aJaqKdZsUe4,CT_: Eligible for Viral Load 40-49 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
pYEncfq4LHD,CT_: Eligible for Viral Load 50 + Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
bIMomPVPlUX,CT_: Eligible for Viral Load 50 + Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
pQxQmwQ5KBy,CT_: Viral Load Samples Collected 10-14 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
A3sXxJP3yFj,CT_: Viral Load Samples Collected 20-24 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
Msy6jQGmn37,CT_: Viral Load Samples Collected 25-29 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
QXKdo31bahD,CT_: Viral Load Samples Collected 25-29 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
yhQCvYucobL,CT_: Viral Load Samples Collected 30-34 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
qO4Laf5vNBj,CT_: Viral Load Samples Collected 30-34 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,4
kCAtOuXo8I5,CT_: Viral Load Samples Collected 35-39 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
khzso3Cer4z,CT_: Viral Load Samples Collected 35-39 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
UL5CnB8zL98,CT_: Viral Load Samples Collected 40-49 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
TGfSjBs0xBB,CT_: Viral Load Samples Collected 50 + Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
bC9x4D3iwM9,CT_: Viral Load Samples Collected 50 + Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
EkjMMNSb91g,CT_: Number with Viral Load Results 10-14 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
TgMwXZEAIk0,CT_: Number with Viral Load Results 20-24 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
qJbOUW9dPEc,CT_: Number with Viral Load Results 25-29 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
xKJ22a8Qlgs,CT_: Number with Viral Load Results 25-29 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
BeFNRCqmsW3,CT_: Number with Viral Load Results 30-34 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
b1YflJcFVpl,CT_: Number with Viral Load Results 30-34 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,4
mVUVWMVwytZ,CT_: Number with Viral Load Results 35-39 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
m0i3vHRRh8N,CT_: Number with Viral Load Results 35-39 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
DPuev94lPjB,CT_: Number with Viral Load Results 40-49 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
gGkHe1YACwe,CT_: Number with Viral Load Results 50 + Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
X4NIxxO1fpK,CT_: Number with Viral Load Results 50 + Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
wUcqGUbUeJn,"CT_: Viral Load Results <1,000 10-14 Years Male",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
ubkZPc0ny42,"CT_: Viral Load Results <1,000 20-24 Years Female",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
mFxtWtGURzj,"CT_: Viral Load Results <1,000 25-29 Years Male",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
QYmb3yJ4ytL,"CT_: Viral Load Results <1,000 25-29 Years Female",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
l26MQmCevwB,"CT_: Viral Load Results <1,000 30-34 Years Male",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
nIXanr4P8FF,"CT_: Viral Load Results <1,000 30-34 Years Female",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
TETyFJ2kkKN,"CT_: Viral Load Results <1,000 35-39 Years Male",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
tJL3VMY7bZW,"CT_: Viral Load Results <1,000 35-39 Years Female",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
hqrIs9XRebP,"CT_: Viral Load Results <1,000 40-49 Years Male",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,3
cvOqRQK3CUL,"CT_: Viral Load Results <1,000 50 + Years Male",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
NJ4cqkTl5eO,"CT_: Viral Load Results <1,000 50 + Years Female",201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
QqI7xHw21X3,CT_: Viral Load Results <LDL> 10-14 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
ZstVbezKQEd,CT_: Viral Load Results <LDL> 25-29 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
kgieGgJkZS3,CT_: Viral Load Results <LDL> 25-29 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
WrR61VhDL9v,CT_: Viral Load Results <LDL> 30-34 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
jVw54CuNFIz,CT_: Viral Load Results <LDL> 30-34 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
KdYmGaWf6q3,CT_: Viral Load Results <LDL> 35-39 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
F1coQry4Jos,CT_: Viral Load Results <LDL> 35-39 Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
CJ78Pdu9eZ1,CT_: Viral Load Results <LDL> 40-49 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
vnCrXLkqCDV,CT_: Viral Load Results <LDL> 50 + Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
PS4CpDsuvy1,CT_: Viral Load Results <LDL> 50 + Years Female,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,1
S9qg1zSCBoC,CT_: Number with 2nd Viral Load Done 25-29 Years Male,201710,Kibos Sugar Research Dispensary,13890,HllvX50cXC0,YHx6ZCdJgEN ,2
qKbggf6ct7t,CT_: New on Treatment < 1 Year,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,1
f49NZ0WYT8H,CT_: New on Treatment 1 - 9 Years,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,2
jMj9HsAtCiE,CT_: New on Treatment 20-24 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,6
t9k5FOaZ3De,CT_: New on Treatment 25-29 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,1
nKH62k2rovl,CT_: New on Treatment 25-29 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,10
x2b9Ccqzqgo,CT_: New on Treatment 30-34 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,6
BaggOdSLOaW,CT_: New on Treatment 30-34 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,5
RaA7Y8HJ4rt,CT_: New on Treatment 35-39 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,1
RWRfAYDpGFS,CT_: New on Treatment 35-39 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,2
BcI7CFMenyR,CT_: New on Treatment 40-49 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,3
KLX9jAmEUvw,CT_: New on Treatment 50 + Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,1
l7ArVf0Li4S,CT_: Current on Treatment < 1 Year,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,11
dMXQytl6smz,CT_: Current on Treatment 1 - 9 Years,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,191
w6WWy2A7RUk,CT_: Current on Treatment 10-14 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,107
RjApqOcDTwT,CT_: Current on Treatment 10-14 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,87
fFNmm0oP0ek,CT_: Current on Treatment 15-19 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,84
MkTG1QOLLcC,CT_: Current on Treatment 15-19 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,114
VRnM69jCvDj,CT_: Current on Treatment 20-24 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,70
VsZdsSj87oU,CT_: Current on Treatment 20-24 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,293
zj9bYSJ4gs9,CT_: Current on Treatment 25-29 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,132
HZy39srIX9A,CT_: Current on Treatment 25-29 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,611
qKs4rxcBeMN,CT_: Current on Treatment 30-34 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,295
sb0tiptWRok,CT_: Current on Treatment 30-34 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,906
lqWuuZfUOnP,CT_: Current on Treatment 35-39 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,409
aDaPydSh2gv,CT_: Current on Treatment 35-39 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,745
CrCBPYt9i4n,CT_: Current on Treatment 40-49 Years Male,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,666
HjrjlsRzZK4,CT_: Current on Treatment 40-49 Years Female,201710,Lumumba  Health Centre,13591,HllvX50cXC0,YHx6ZCdJgEN ,1009
